time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.child_frame_id,.pose.pose.position.x,.pose.pose.position.y,.pose.pose.position.z,.pose.pose.orientation.x,.pose.pose.orientation.y,.pose.pose.orientation.z,.pose.pose.orientation.w,.pose.covariance,.twist.twist.linear.x,.twist.twist.linear.y,.twist.twist.linear.z,.twist.twist.angular.x,.twist.twist.angular.y,.twist.twist.angular.z,.twist.covariance
1969/12/31/21:22:32.070000,2664,1352,70000000,odom,base_link,0.0003014983187249812,-5.39516647506133e-08,0.0,0.0,0.0,-8.673383589823474e-05,0.9999999962386209,"(2.6657765359800476, 7.092171877000299e-11, 0.0, 0.0, 0.0, 1.7315989585314557e-07, 7.092171877000591e-11, 2.6657769323086558, 0.0, 0.0, 0.0, 0.000976660272874251, 0.0, 0.0, 0.0006003331818643033, 1.1250473304377285e-22, -4.101144734861629e-14, 0.0, 0.0, 0.0, 1.1250473304377283e-22, 0.0003003329978219526, 1.5153909613095207e-31, 0.0, 0.0, 0.0, -4.101144734861629e-14, -1.5153909613095207e-31, 0.0003003329978219526, 0.0, 1.7315989585314886e-07, 0.0009766602728742792, 0.0, 0.0, 0.0, 3.1974265943551776)",1.231734726721407e-05,0.0,0.0,0.0,0.0,-2.7432522111121476e-07,"(0.0007064108013611596, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0007064108013611596, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0004003330897366635, -2.5407520650983354e-38, -1.8197583958680283e-28, 0.0, 0.0, 0.0, -2.540752065098335e-38, 0.00010033223673539186, -5.158581380313397e-47, 0.0, 0.0, 0.0, -1.8197583958680274e-28, -4.726541148265414e-47, 0.00010033223673539186, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00020000099995727829)"
1969/12/31/21:22:32.090000,2665,1352,90000000,odom,base_link,0.00030174467808547357,-5.3994400265179766e-08,0.0,0.0,0.0,-8.673403995275938e-05,0.9999999962386031,"(2.6667776567205377, 7.100615007555497e-11, 0.0, 0.0, 0.0, 1.7329655234518052e-07, 7.100615007555788e-11, 2.6667780535305585, 0.0, 0.0, 0.0, 0.0009774480627561606, 0.0, 0.0, 0.0006004998418050102, -3.950229282198164e-23, -6.155297243955017e-14, 0.0, 0.0, 0.0, -3.950229282198164e-23, 0.00030049963383145756, -2.7252161444364814e-33, 0.0, 0.0, 0.0, -6.155297243955016e-14, 2.72502806534035e-33, 0.00030049963383145756, 0.0, 1.7329655234518383e-07, 0.0009774480627561888, 0.0, 0.0, 0.0, 3.1986266043555767)",1.2318589152712374e-05,0.0,0.0,0.0,0.0,6.42333427730237e-08,"(0.0012304450031326557, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0012304450031326557, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0004004997377706222, 8.808477487867483e-31, -3.196794350858152e-22, 0.0, 0.0, 0.0, 8.808477487867481e-31, 0.00010049875516938037, 5.474409187428489e-38, 0.0, 0.0, 0.0, -3.196794350858151e-22, 5.333845151017248e-38, 0.00010049875516938037, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00020000099995731992)"
1969/12/31/21:22:32.110000,2666,1352,110000000,odom,base_link,0.00030199106059553596,-5.4037139727588316e-08,0.0,0.0,0.0,-8.673389192040641e-05,0.999999996238616,"(2.6677774111686894, 7.109065656490183e-11, 0.0, 0.0, 0.0, 1.7343327268630206e-07, 7.109065656490474e-11, 2.6677778084605563, 0.0, 0.0, 0.0, 0.0009782362219636755, 0.0, 0.0, 0.0006003331818643033, 8.451303520964712e-25, -4.1019760374395636e-14, 0.0, 0.0, 0.0, 8.451303520964713e-25, 0.0003003329978219526, -3.5867484896993615e-34, 0.0, 0.0, 0.0, -4.1019760374395636e-14, 3.5867484896993615e-34, 0.0003003329978219526, 0.0, 1.7343327268630537e-07, 0.0009782362219637037, 0.0, 0.0, 0.0, 3.1998266143227516)",1.231984397634089e-05,0.0,0.0,0.0,0.0,-2.0604201768045825e-09,"(0.0007047063591802203, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0007047063591802203, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0004003330897366635, -1.1913946829564274e-37, -1.8201300744719496e-28, 0.0, 0.0, 0.0, -1.191394682956428e-37, 0.00010033223673539186, -1.4253017690552977e-46, 0.0, 0.0, 0.0, -1.8201300744719487e-28, -1.2231806237459842e-46, 0.00010033223673539186, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00020000099995727829)"
1969/12/31/21:22:32.130000,2667,1352,130000000,odom,base_link,0.00030223746989198016,-5.4079883949916545e-08,0.0,0.0,0.0,-8.673567458417077e-05,0.9999999962384614,"(2.6687785306455565, 7.117523978615404e-11, 0.0, 0.0, 0.0, 1.7357005961035965e-07, 7.117523978615689e-11, 2.6687789284197105, 0.0, 0.0, 0.0, 0.0009790247629143385, 0.0, 0.0, 0.0006004998418186527, 1.4591093642791694e-22, -6.156544886163557e-14, 0.0, 0.0, 0.0, 1.4591093642791692e-22, 0.00030049963383827876, 2.9556144477908707e-31, 0.0, 0.0, 0.0, -6.156544886163557e-14, -2.9556155057357865e-31, 0.00030049963383827876, 0.0, 1.7357005961036296e-07, 0.0009790247629143667, 0.0, 0.0, 0.0, 3.2010266243231644)",1.232108603856285e-05,0.0,0.0,0.0,0.0,-2.3700091362712117e-07,"(0.0012286974560334406, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0012286974560334406, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00040049973777971716, 6.617270627275248e-33, -3.197442331762702e-22, 0.0, 0.0, 0.0, 6.61727062727525e-33, 0.0001004987551716541, 4.0195407137100205e-40, 0.0, 0.0, 0.0, -3.1974423317627024e-22, 4.102234386566893e-40, 0.0001004987551716541, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0002000009999618674)"
1969/12/31/21:22:32.150000,2668,1352,150000000,odom,base_link,0.0003024839040296655,-5.4122633391095116e-08,0.0,0.0,0.0,-8.673666072545897e-05,0.9999999962383759,"(2.669780642206677, 7.1259899859783e-11, 0.0, 0.0, 0.0, 1.7370691453517367e-07, 7.125989985978568e-11, 2.669781040463556, 0.0, 0.0, 0.0, 0.000979813679083548, 0.0, 0.0, 0.0006004998418339193, 3.234688731100585e-23, -6.157167840497551e-14, 0.0, 0.0, 0.0, 3.2346887311005847e-23, 0.0003004996339470317, -3.231270870569292e-32, 0.0, 0.0, 0.0, -6.157167840497551e-14, 3.231249711670977e-32, 0.0003004996339470317, 0.0, 1.7370691453517698e-07, 0.0009798136790835762, 0.0, 0.0, 0.0, 3.202226634323564)",1.2322328100784797e-05,0.0,0.0,0.0,0.0,-5.248581607020699e-08,"(0.001765717874116818, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001765717874116818, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00040049973783566265, 7.632935656959417e-31, -3.199347813732311e-22, 0.0, 0.0, 0.0, 7.632935656959413e-31, 0.00010049875620060888, 4.781482317597521e-38, 0.0, 0.0, 0.0, -3.1993478137323113e-22, 4.584397306658804e-38, 0.00010049875620060888, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00020000099995731992)"
1969/12/31/21:22:32.170000,2669,1352,170000000,odom,base_link,0.00030273031730123755,-5.4165379501468605e-08,0.0,0.0,0.0,-8.673617582648284e-05,0.9999999962384178,"(2.6707793995411695, 7.134463086277928e-11, 0.0, 0.0, 0.0, 1.738438268235738e-07, 7.134463086278216e-11, 2.6707797982811803, 0.0, 0.0, 0.0, 0.0009806029206083052, 0.0, 0.0, 0.0006004996339648284, -5.000951248983158e-23, -6.151012778446705e-14, 0.0, 0.0, 0.0, -5.000951248983158e-23, 0.00030049921918607535, 1.1353440280223572e-32, 0.0, 0.0, 0.0, -6.151012778446704e-14, -1.1353440280223572e-32, 0.00030049921918607535, 0.0, 1.738438268235771e-07, 0.0009806029206083334, 0.0, 0.0, 0.0, 3.203426644257735)",1.2322785957357697e-05,0.0,0.0,0.0,0.0,8.130295945860122e-08,"(0.0009056931289238516, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0009056931289238516, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00040049942639219435, 2.5631040880637713e-38, -5.190850896922425e-29, 0.0, 0.0, 0.0, 2.563104088063771e-38, 0.00010049752469171817, 3.3636579637710835e-46, 0.0, 0.0, 0.0, -5.190850896922425e-29, -2.3442276313851426e-46, 0.00010049752469171817, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00020000099995730336)"
1969/12/31/21:22:32.190000,2670,1352,190000000,odom,base_link,0.00030297678534169136,-5.4208134868563546e-08,0.0,0.0,0.0,-8.673629054245905e-05,0.999999996238408,"(2.671780965570004, 7.142943760671687e-11, 0.0, 0.0, 0.0, 1.7398080333284575e-07, 7.142943760671971e-11, 2.671781364793584, 0.0, 0.0, 0.0, 0.0009813925368395463, 0.0, 0.0, 0.0006004998418338833, 2.609707651088398e-23, -6.15801368107485e-14, 0.0, 0.0, 0.0, 2.6097076510883977e-23, 0.00030049963394674305, 6.445424045465116e-32, 0.0, 0.0, 0.0, -6.158013681074852e-14, 3.415342118711729e-32, 0.00030049963394674305, 0.0, 1.7398080333284906e-07, 0.0009813925368395745, 0.0, 0.0, 0.0, 3.2046266542581336)",1.2324018458889906e-05,0.0,0.0,0.0,0.0,-4.239603840774841e-08,"(0.0014346566655978167, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0014346566655978167, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0004004997378355408, -2.618794476336927e-31, -3.199805896620318e-22, 0.0, 0.0, 0.0, -2.6187944763369264e-31, 0.000100498756192995, -1.5490156143703e-38, 0.0, 0.0, 0.0, -3.199805896620318e-22, -1.6637193008500642e-38, 0.000100498756192995, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00020000099995731992)"
1969/12/31/21:22:32.210000,2671,1352,210000000,odom,base_link,0.0003032232693200239,-5.4250893432848364e-08,0.0,0.0,0.0,-8.67403927913864e-05,0.9999999962380521,"(2.672780344503827, 7.151431972422529e-11, 0.0, 0.0, 0.0, 1.7411784450229582e-07, 7.15143197242284e-11, 2.672780744211408, 0.0, 0.0, 0.0, 0.000982182517823724, 0.0, 0.0, 0.0006004996339648284, 3.291506579309295e-22, -6.152165020403673e-14, 0.0, 0.0, 0.0, 3.2915065793092957e-22, 0.00030049921918607535, -1.336840809931514e-31, 0.0, 0.0, 0.0, -6.152165020403675e-14, 1.336840809931514e-31, 0.00030049921918607535, 0.0, 1.7411784450229913e-07, 0.0009821825178237525, 0.0, 0.0, 0.0, 3.2058266641923048)",1.2325093792599541e-05,0.0,0.0,0.0,0.0,-5.350159234043805e-07,"(0.0008863597222239995, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0008863597222239995, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00040049942639219435, 2.0402806676590524e-38, -5.191823672572172e-29, 0.0, 0.0, 0.0, 2.0402806676590522e-38, 0.00010049752469171817, 1.4052422460047342e-46, 0.0, 0.0, 0.0, -5.191823672572172e-29, -1.2678087261441609e-46, 0.00010049752469171817, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00020000099995730336)"
1969/12/31/21:22:32.230000,2672,1352,230000000,odom,base_link,0.0003034697834979852,-5.42936593208938e-08,0.0,0.0,0.0,-8.6742759691449e-05,0.9999999962378469,"(2.6737818136491454, 7.159927994781228e-11, 0.0, 0.0, 0.0, 1.7425495735694235e-07, 7.159927994781536e-11, 2.673782213841165, 0.0, 0.0, 0.0, 0.0009829728735058659, 0.0, 0.0, 0.0006004998418338833, 8.460301043532312e-23, -6.159166160012932e-14, 0.0, 0.0, 0.0, 8.460301043532313e-23, 0.00030049963394674305, 1.6379615701024548e-31, 0.0, 0.0, 0.0, -6.159166160012933e-14, 1.320262004949501e-31, 0.00030049963394674305, 0.0, 1.7425495735694566e-07, 0.0009829728735058943, 0.0, 0.0, 0.0, 3.2070266741927034)",1.2326324374513193e-05,0.0,0.0,0.0,0.0,-1.3724935870295358e-07,"(0.0014148661314898905, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0014148661314898905, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0004004997378355408, 1.723626170492551e-30, -3.2004050233433595e-22, 0.0, 0.0, 0.0, 1.7236261704925515e-30, 0.000100498756192995, 1.0431507650101376e-37, 0.0, 0.0, 0.0, -3.200405023343359e-22, 1.0718011055872446e-37, 0.000100498756192995, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00020000099995731992)"
1969/12/31/21:22:32.270000,2673,1352,250000000,odom,base_link,0.00030371633882212145,-5.433643310949063e-08,0.0,0.0,0.0,-8.67422090917554e-05,0.9999999962378946,"(2.6747809399046627, 7.168431845985519e-11, 0.0, 0.0, 0.0, 1.7439213998169702e-07, 7.168431845985844e-11, 2.6747813405815672, 0.0, 0.0, 0.0, 0.0009837636172618633, 0.0, 0.0, 0.0006003331817108255, -4.8522245657084234e-23, -4.104681384575184e-14, 0.0, 0.0, 0.0, -4.852224565708423e-23, 0.00030033299721119014, -3.074527202854084e-32, 0.0, 0.0, 0.0, -4.104681384575184e-14, 3.074527202854084e-32, 0.00030033299721119014, 0.0, 1.7439213998170033e-07, 0.0009837636172618917, 0.0, 0.0, 0.0, 3.208226684126875)",1.2328001352504906e-05,0.0,0.0,0.0,0.0,1.1821208845318466e-07,"(0.0006412311606605628, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0006412311606605628, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0004003330893921464, 3.0899504202914986e-38, -2.3146377954236738e-29, 0.0, 0.0, 0.0, 3.0899504202914976e-38, 0.00010033223137781579, 7.873281517526908e-47, 0.0, 0.0, 0.0, -2.3146377954236732e-29, 3.3896891148237233e-47, 0.00010033223137781579, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00020000099995727005)"
